Artiest,Nummer,Youtube-link
ABBA,Gimme! Gimme! Gimme!,https://www.youtube.com/watch?v=XEjLoHdbVeE&ab_channel=AbbaVEVO
Bruce Springsteen,Born To Run,https://youtu.be/IxuThNgl3YA
Bryan Adams,Summer Of '69,https://www.youtube.com/watch?v=eFjjO_lhf9c&ab_channel=BryanAdamsVEVO
Daft Punk,Giorgio by Moroder,https://www.youtube.com/watch?v=-ydKjPsRzBs
Disturbed,The Sound Of Silence,https://www.youtube.com/watch?v=u9Dg-g7t2l4
Django Wagner,Kali,https://www.youtube.com/watch?v=xxMNhzsa4xQ
DragonForce,Through the Fire and Flames,https://www.youtube.com/watch?v=0jgrCKhxE1s&ab_channel=DragonForce
Drake,Nice for what,https://www.youtube.com/watch?v=U9BwWKXjVaI
"Earth, Wind & Fire",September,https://www.youtube.com/watch?v=Gs069dndIYk
ELO,Mr. Blue sky,https://youtu.be/aQUlA8Hcv4s
Frans Bauer,Du Hast,https://youtu.be/sSbVjvo_UOE
Gavin DeGraw,Best I Ever Had,https://www.youtube.com/watch?v=NL2VBU604Jw
Guns N' Roses,November Rain,https://www.youtube.com/watch?v=8SbUC-UaAxE
Hamilton,Wait For It,https://www.youtube.com/watch?v=srQ4eFL3jfE
Jamie xx,Gosh,https://youtu.be/hTGJfRPLe08
Jaskier,Toss A Coin To Your Witcher,https://www.youtube.com/watch?v=PoQJM8SO6V0&ab_channel=BK
Kirin J Callinan,Big Enough,https://www.youtube.com/watch?v=rvrZJ5C_Nwg
Kud,Half Robot,https://youtu.be/rv9zEcispCU
Linkin Park,In The End,https://www.youtube.com/watch?v=aNgM9XoFxPk
Maneskin,I Wanna Be Your Slave,https://www.youtube.com/watch?v=yOb9Xaug35M
Niet Gert Verhulst,Basement Rhapsody,https://www.youtube.com/watch?v=aOrZ9LtqPPM
Pink Floyd,Wish You Were Here,https://www.youtube.com/watch?v=01izSmWzgeI
Queen,I Want It All,https://www.youtube.com/watch?v=hFDcoX7s6rE&ab_channel=QueenOfficial
Queen & David Bowie,Under Pressure,https://youtu.be/a01QQZyl-_I
Rammstein,Links 2 3 4,https://www.youtube.com/watch?v=Ph-CA_tu5KA
Ramses Shaffy,Laat me,https://www.youtube.com/watch?v=fyTvY_7ws30
Rob Cantor,Shia Labeouf,https://youtu.be/o0u4M6vppCI
Rowwen heze,Limburg,https://youtu.be/lLpzDSBj72E
Spongebob Squarepants,Sweet Victory,https://www.youtube.com/watch?v=cUZNXgIXM1c&t=24s
Stefan Karl Stefansson,We Are Number One,https://www.youtube.com/watch?v=c4kFLMsRnS4
Supertramp,Dreamer,https://youtu.be/9SwQ9iavJeI
The Black Eyed Peas,Where is the love?,https://www.youtube.com/watch?v=WpYeekQkAdc
The Hu,Yuve Yuve Yu,https://www.youtube.com/watch?v=v4xZUr0BEfE
DJ EDM,Meow Mix,https://www.youtube.com/watch?v=aX9H5-i4Kek
Thomas Acda,Als Ik Je Weer Zie,https://www.youtube.com/watch?v=8q_cMsjbdYE
Tina Turner,Proud Mary,https://youtu.be/Gciy9oG5678
Tony Igy,Astronomia,https://www.youtube.com/watch?v=j9V78UbdzWI
U2,Sunday Bloody Sunday,https://www.youtube.com/watch?v=Yv5U0A10hrI
Volbeat,Sad Man's Tongue,https://www.youtube.com/watch?v=5mV_HHL-h6g
Ylvis,Jan Egeland,https://www.youtube.com/watch?v=Yn-oemgzlEU
